Line1_length,Line2_length,Line3_length,Line4_length,Line1_angle,Line2_angle,Line3_angle,Line4_angle,Shape
92.76313923105448,238.05251521460553,123.9395013706284,31.144823004794873,0.0,0.0,0.0,0.0,4
129.83836104942176,290.2481696755382,141.40014144264495,41.012193308819754,0.0,0.0,0.0,0.0,0
67.91170738539859,155.0,74.52516353554684,20.0,0.0,0.0,0.0,0.0,2
41.593268686170845,103.12128781197411,48.76474136094644,14.035668847618199,0.0,0.0,1.2074182697257333e-06,0.0,4
204.0245083317198,488.4096641140509,241.13274352522097,72.06247289678588,0.0,0.0,0.0,0.0,2
44.553338819890925,117.00427342623003,57.0087712549569,16.1245154965971,0.0,0.0,0.0,0.0,3
108.77959367454909,323.02476685232665,168.6475615003075,53.600373133029585,0.0,0.0,0.0,0.0,0
51.78802950489621,121.01652779682617,65.11528238439882,25.0,0.0,0.0,0.0,0.0,4
37.33630940518894,86.37129152675674,36.05551275463989,7.0,0.0,0.0,0.0,0.0,3
141.90842117365693,300.00166666203705,120.66896867049125,26.076809620810597,0.0,0.0,0.0,1.2074182697257333e-06,3
85.70297544426332,183.02458851203573,81.49233092751734,24.0,0.0,0.0,0.0,0.0,3
76.23647421018367,207.1955597979841,107.56393447619885,27.073972741361768,0.0,0.0,0.0,0.0,2
64.28841264178172,143.01398533010678,65.11528238439882,17.029386365926403,0.0,0.0,0.0,1.2074182697257333e-06,4
133.3641631023867,333.29416436535456,155.23208431248997,45.044422518220834,0.0,0.0,0.0,8.537736462515939e-07,4
48.104053883222775,99.14131328563285,58.0,20.223748416156685,0.0,0.0,0.0,0.0,1
53.36665625650534,124.00403219250575,58.05170109479997,12.041594578792296,0.0,8.537736462515939e-07,0.0,0.0,4
114.12712210513327,231.05410621756974,101.41498903022176,22.02271554554524,0.0,0.0,0.0,0.0,0
41.43669871020132,111.75866856758807,47.885279575251516,15.132745950421556,0.0,0.0,0.0,8.537736462515939e-07,3
90.60905032059435,211.11608181282637,115.31695452100702,36.22154055254967,0.0,0.0,8.537736462515939e-07,1.2074182697257333e-06,0
125.78155667664477,261.6199533674754,113.13708498984761,29.017236257093817,0.0,0.0,8.537736462515939e-07,0.0,0
65.19202405202648,126.4792473095883,58.9406481131655,13.0,0.0,0.0,0.0,0.0,1
61.84658438426491,140.00357138301865,73.7563556583431,24.020824298928627,0.0,0.0,0.0,0.0,2
74.24284477308234,163.35544068074378,80.99382692526635,21.37755832643195,0.0,0.0,0.0,0.0,3
54.817880294662984,123.00406497347964,62.64982043070834,20.024984394500787,0.0,8.537736462515939e-07,0.0,8.537736462515939e-07,4
78.33900688673555,173.1040149736568,82.22530024268686,30.0,0.0,0.0,0.0,0.0,4
80.11242100947892,212.5770448566825,108.46197490364999,28.284271247461902,0.0,8.537736462515939e-07,0.0,8.537736462515939e-07,0
120.83045973594572,278.0647406630334,142.414886862294,40.0,0.0,0.0,0.0,0.0,2
67.68308503607086,161.15210206509875,89.26925562588724,23.08679276123039,0.0,8.537736462515939e-07,8.537736462515939e-07,0.0,1
